"","EVENT_DATE","YEAR","EVENT_TYPE","PERPRETATORS","VICTIMS","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","FATALITIES"
"756","2001-01-13",2001,"Battle-No change of territory","Pokot Ethnic Militia (Kenya)","Marakwet Ethnic Militia (Kenya)","Kenya","Elgeyo-Marakwet","Keiyo North","Emsoo","Chamcham Grazing Ground",0.75,35.58,"BBC Monitoring, 1/18/2001",4
"757","2001-01-14",2001,"Battle-No change of territory","Police Forces of Kenya (1978-2002)","Mungiki Militia","Kenya","Nairobi","Kasarani","Clay City","Mwiki",-1.225681,36.923983,"BBC Monitoring, 1/17/2001",0
"758","2001-01-15",2001,"Battle-No change of territory","Unidentified Ethnic Militia (Ethiopia)","Police Forces of Kenya (1978-2002)","Kenya","Marsabit","Moyale","Uran","Uran",3.55,38.48,"BBC Monitoring, 2/16/2001",11
"759","2001-01-15",2001,"Violence against civilians","Unidentified Ethnic Militia (Ethiopia)","Civilians (Kenya)","Kenya","Marsabit","Moyale","Uran","Uran",3.55,38.48,"BBC Monitoring, 2/16/2001",8
"760","2001-01-16",2001,"Battle-No change of territory","Degodia Ethnic Militia (Kenya)","Ajuran Ethnic Militia (Kenya)","Kenya","Isiolo","Isiolo North","Bulla Pesa","Isiolo",0.35462,37.58218,"BBC Monitoring, 1/21/2001",1
"761","2001-01-18",2001,"Battle-No change of territory","Degodia Ethnic Militia (Kenya)","Ajuran Ethnic Militia (Kenya)","Kenya","Isiolo","Isiolo North","Bulla Pesa","Isiolo",0.35462,37.58218,"BBC Monitoring, 1/21/2001",1
"762","2001-01-30",2001,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",0
"763","2001-01-30",2001,"Riots/Protests","Rioters (Kenya)","Police Forces of Kenya (1978-2002)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"KTN TV - Nairobi",0
"764","2001-01-30",2001,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Inter Press Service English News Wire",0
"765","2001-01-30",2001,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",0
"766","2001-01-30",2001,"Violence against civilians","Police Forces of Kenya (1978-2002)","Civilians (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"KTN TV - Nairobi",0
"767","2001-01-31",2001,"Riots/Protests","Rioters (Kenya)","Unitentified","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",0
"768","2001-01-31",2001,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",0
"769","2001-02-01",2001,"Riots/Protests","Police Forces of Kenya (1978-2002)","Rioters (Kenya)","Kenya","Nairobi","Starehe","Nairobi Central","Nairobi",-1.28333,36.81667,"Agence France Presse",0
"770","2001-02-04",2001,"Violence against civilians","Police Forces of Kenya (1978-2002)","Protesters (Kenya)","Kenya","Kisii","Nyaribari Chache","Kisii Central","Kisii",-0.68333,34.766667,"Inter Press Service English News Wire",0
